Year,State,Text
,,"for achievement are so outstanding that the child’s needs exceed differentiated general education programming, adversely affects educational performance, and requires specifically designed instruction or support services. Children from all populations (e.g., all cultural, racial, and ethnic groups, English Learners, all economic strata, twice exceptional, etc.) can be found to possess these abilities. Children identified as intellectually gifted are exempted from the discipline procedures at 34 C.F.R. §300.530- 537. Children with a dual diagnosis that includes intellectually gifted must be considered as children with a disability and may not be exempted from the discipline procedures at 34 C.F.R. §300.530-537. "
2020-2021,Texas,"Gifted and talented student means a child or youth who performs at or shows the potential for performing at a remarkably high level of accomplishment when compared to others of the same age, experience, or environment and who: "
,,
,,"(1) exhibits high performance capability in an intellectual, creative, or artistic area; (2) possesses an unusual capacity for leadership; or"
,,(3) excels in a specific academic field. 
2020-2021,Utah,"Gifted and talented programs means programs to identify, through multiple assessment instruments, and serve students with outstanding abilities in the following areas: "
,,
,,(i) general intellectual ability;
,,(ii) specific academic aptitude; and (iii) creative or productive thinking. 
2020-2021,Vermont,"Gifted and talented children means children identified by professionally qualified persons who, when compared to others of their age, experience, or environment, exhibit capability of high performance in intellectual, creative, or artistic areas, possess an unusual capacity for leadership, or excel in specific academic fields. "
2020-2021,Virginia,"Gifted students means those students in public elementary, middle, and secondary"
,,schools beginning with kindergarten through twelfth grade who demonstrate high levels
,,"of accomplishment or who show the potential for higher levels of accomplishment when compared to others of the same age, experience, or environment. Their aptitudes and potential for accomplishment are so outstanding that they require special programs to meet their educational needs. "
2020-2021,Washington,"Highly capable students are students who perform or show potential for performing at significantly advanced academic levels when compared with others of their age, experiences, or environments. Outstanding abilities are seen within students’ general intellectual aptitudes, specific academic abilities, and/or creative productivities within a specific domain. These students are present not only in the general populace but are present within all protected classes according to chapters 28A.640 and 28A.642 RCW. "
2020-2021,West Virginia,Giftedness is exceptional intellectual abilities and potential for achievement that requires specially designed instruction and/or services beyond those normally provided in the general classroom instruction. 
2020-2021,Wisconsin,"Gifted and talented pupils means pupils enrolled in public schools who give evidence of high performance capability in intellectual, creative, artistic, leadership or specific academic areas and who need services or activities not ordinarily provided in a regular school program in order to fully develop such capabilities."
2020-2021,Wyoming,Gifted and talented students identified by professionals and other qualified individuals
,,"as having outstanding abilities, who are capable of high performance and whose abilities, talents and potential require qualitatively differentiated educational programs and services beyond those normally provided by the regular school program in order to realize their contribution to self and society. "
